"Tên","Thuộc cột","Thuộc hàng","Thời gian xét"
"PhatsinhNO_NamTruoc(4111) + PhatsinhNO_NamTruoc(4112) + PhatsinhNO_NamTruoc(4118) + PhatsinhNO_NamTruoc(412) + PhatsinhNO_NamTruoc(413)","BE","567",""
"DUCODK(4111) + DUCODK(4112) + DUCODK(4118) + DUCODK(412) - DUNODK(412) + DUCODK(413) - DUNODK(413)","BE","570",""
"PhatsinhCO(4111) + PhatsinhCO(4112) + PhatsinhCO(4118) + PhatsinhCO(412) + PhatsinhCO(413)","BE","571",""
"PhatsinhNO(4111) + PhatsinhNO(4112) + PhatsinhNO(4118) + PhatsinhNO(412) + PhatsinhNO(413)","BE","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","BE","577",""
"DUCOCK_ChitietTheoTKvaDoituong(331)","J","392",""
"DUCODK_ChitietTheoTKvaDoituong(331)","AJ","392",""
"DUCOCK(414)","A","618",""
" - PhatsinhDU(2141/2147)","BC","225",""
"DUCOCK(3411) - DUNOCK(3411)","E","361",""
"PhatsinhCO(3411)","V","361",""
"DUCODK(3411) - DUNODK(3411)","AO","361",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AN","577",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AW","577",""
"[VII.8.b.1] + [VII.8.b.2]","AV","756",""
