"Tên","Thuộc cột","Thuộc hàng","Thời gian xét"
"PhatsinhDU(154/621) + PhatsinhDU(154/6272) + PhatsinhDU(154/6273) + PhatsinhDU(911/6412) + PhatsinhDU(911/6413) + PhatsinhDU(911/6422) + PhatsinhDU(911/6423)","AG","767",""
"PhatsinhDU_NamTruoc(154/621) + PhatsinhDU_NamTruoc(154/6272) + PhatsinhDU_NamTruoc(154/6273) + PhatsinhDU_NamTruoc(911/6412) + PhatsinhDU_NamTruoc(911/6413) + PhatsinhDU_NamTruoc(911/6422) + PhatsinhDU_NamTruoc(911/6423)","AV","767",""
"PhatsinhDU(154/622) + PhatsinhDU(154/6271) + PhatsinhDU(911/6421) + PhatsinhDU(911/6411)","AG","768",""
"PhatsinhDU_NamTruoc(154/622) + PhatsinhDU_NamTruoc(154/6271) + PhatsinhDU_NamTruoc(911/6421) + PhatsinhDU_NamTruoc(911/6411)","AV","768",""
"PhatsinhDU(154/6274) + PhatsinhDU(911/6424) + PhatsinhDU(911/6414)","AG","769",""
"PhatsinhDU_NamTruoc(154/6274) + PhatsinhDU_NamTruoc(911/6424) + PhatsinhDU_NamTruoc(911/6414)","AV","769",""
"PhatsinhDU(154/6277) + PhatsinhDU(911/6427) + PhatsinhDU(911/6417)","AG","770",""
"PhatsinhDU_NamTruoc(154/6277) + PhatsinhDU_NamTruoc(911/6427) + PhatsinhDU_NamTruoc(911/6417)","AV","770",""
"PhatsinhDU(154/6278) + PhatsinhDU(911/6428) + PhatsinhDU(911/6418)","AG","771",""
"PhatsinhDU_NamTruoc(154/6278) + PhatsinhDU_NamTruoc(911/6428) + PhatsinhDU_NamTruoc(911/6418)","AV","771",""
"PhatsinhDU(911/8211) - PhatsinhDU(8211/911)","AG","773",""
"PhatsinhDU_NamTruoc(911/8211) - PhatsinhDU_NamTruoc(8211/911)","AV","773",""
"PhatsinhDU(911/8211) - PhatsinhDU(8211/911)","AG","779",""
"PhatsinhDU_NamTruoc(911/8211) - PhatsinhDU_NamTruoc(8211/911)","AV","779",""
"PhatsinhDU(911/8212) - PhatsinhDU(8212/911)","AG","789",""
"PhatsinhDU_NamTruoc(911/8212) - PhatsinhDU_NamTruoc(8212/911)","AV","789",""
"DUNOCK(1281)","Q","106","Cuối kì"
"DUNODK(1281)","AM","106","Đầu kì"
"DUNOCK(1282)","Q","107","Cuối kì"
"DUNODK(1282)","AM","107","Đầu kì"
"DUNOCK(1283) + DUNOCK(1288)","Q","108","Cuối kì"
"DUNODK(1283) + DUNODK(1288)","AM","108","Đầu kì"
"DUNOCK(221)","F","117","Cuối kì"
"DUNODK(221)","AF","117","Đầu kì"
"DUNOCK(222)","F","118","Cuối kì"
"DUNODK(222)","AF","118","Đầu kì"
"DUNOCK(228)","F","119","Cuối kì"
"DUNODK(228)","AF","119","Đầu kì"
"DUCOCK(2292)","N","119","Cuối kì"
"DUNOCK_ChitietTheoTK(1385)","O","138","Cuối kì"
"DUNODK_ChitietTheoTK(1385)","AL","138","Đầu kì"
"DUNOCK_ChitietTheoTK(334)","O","140","Cuối kì"
"DUNODK_ChitietTheoTK(334)","AL","140","Đầu kì"
"DUNOCK_ChitietTheoTK(244)","O","141","Cuối kì"
"DUNODK_ChitietTheoTK(244)","AL","141","Cuối kì"
"DUNOCK_ChitietTheoTK(1388) + DUNOCK_ChitietTheoTK(338) + DUNOCK_ChitietTheoTK(141)","O","144","Cuối kì"
"DUNODK_ChitietTheoTK(1388) + DUNODK_ChitietTheoTK(338) + DUNODK_ChitietTheoTK(141)","AL","144","Cuối kì"
"DUNOCK(151)","O","179","Cuối kì"
"DUNODK(151)","AL","179","Đầu kì"
